Vehicle Model,Battery Capacity (kWh),Charging Station Location,Charging Start Time,Charging Duration (hours),Charging Rate (kW),Energy Consumed (kWh),State of Charge (Start %),State of Charge (End %),Temperature (°C),Vehicle Age (years),Charger Type,User Type
Nissan Leaf,36.19487407752826,Los Angeles,2024-02-06 17:00:00,1.256961210503945,57.989360934086974,46.326650598969195,33.15650818343268,100.0,21.292465415637487,5,DC Fast Charger,Casual Driver
Hyundai Kona,59.5950904645826,New York,2024-02-27 10:00:00,2.410840219056309,6.093063118707309,22.35033077270772,14.317760013491892,50.488145706596605,26.67015119294576,4,Level 1,Long-Distance Traveler
Hyundai Kona,67.0620875436591,Los Angeles,2024-01-18 10:00:00,2.5743742351504197,21.52470197256579,39.218268032206225,15.926334104829639,75.17159087111999,21.767870011478966,9,Level 2,Commuter
BMW i3,39.82175535954328,Chicago,2024-01-16 19:00:00,0.592214210950885,64.282054928612,17.609010913952375,15.679016889223474,60.08440332129686,5.726491118006916,8,DC Fast Charger,Commuter
Hyundai Kona,68.16164752819564,Los Angeles,2024-03-05 20:00:00,0.5756327591951412,53.50009793838418,25.591148067895773,13.488113241485163,52.9633386203098,27.359048587824766,3,DC Fast Charger,Long-Distance Traveler
Hyundai Kona,63.71409922738743,Los Angeles,2024-01-17 12:00:00,2.8409570994057316,20.275761165345006,46.44798801457734,16.67277985309346,92.86571467358003,30.090611356766185,6,Level 2,Long-Distance Traveler
Tesla Model 3,76.34567211747246,Los Angeles,2024-03-02 06:00:00,3.6321562950310953,18.583182695985762,39.95035955978759,18.174733167593246,67.20728723141221,35.833747647517264,4,Level 2,Commuter
BMW i3,39.05867044790826,New York,2024-02-28 16:00:00,4.739641170261821,45.264996860694374,127.6581514622694,12.269986346846139,100.0,36.36383412701118,7,DC Fast Charger,Long-Distance Traveler
Chevy Bolt,53.61040026505117,Los Angeles,2024-02-15 03:00:00,1.3060367787062979,59.93248024589673,52.758640308175195,46.61694692247475,100.0,25.717196802288687,1,DC Fast Charger,Commuter
BMW i3,37.55809457551497,New York,2024-01-08 09:00:00,0.9646646424623715,25.8274915431946,17.08112688354033,69.37609974784297,100.0,6.285954702833161,1,Level 2,Long-Distance Traveler
Chevy Bolt,59.38305521712034,Houston,2024-03-19 09:00:00,0.7343955811721792,4.7026467358528175,11.77336165390645,62.14713840239665,81.81775069485415,1.6473939894248417,6,Level 1,Long-Distance Traveler
Tesla Model 3,89.69790714219631,Chicago,2024-01-22 07:00:00,2.462187123108276,7.174357113741406,15.941198822012481,7.964177048695603,27.03127233017568,17.274876722719522,7,Level 1,Casual Driver
Nissan Leaf,47.35953199556771,New York,2024-03-05 14:00:00,3.304163153011806,,22.13305021305925,32.49882259778711,80.70495216038763,31.03365169432415,9,Level 1,Long-Distance Traveler
Hyundai Kona,59.42692815498424,Houston,2024-01-14 10:00:00,4.282490105380688,23.580463847841468,73.30901490898341,60.8551876501302,100.0,30.26042081837084,7,Level 2,Casual Driver
Tesla Model 3,75.4820614186598,New York,2024-02-20 00:00:00,3.5719019703190913,5.79285776171726,13.770288520314416,13.753863169479768,28.97338342162082,23.28799114715815,9,Level 1,Long-Distance Traveler
Hyundai Kona,,New York,2024-03-02 17:00:00,1.437623550836858,27.48902805824712,32.146906659747934,60.096934532382775,100.0,19.561289134505383,9,Level 2,Commuter
Nissan Leaf,40.65133309434512,Chicago,2024-02-02 19:00:00,2.5779666487832555,21.993303613569875,36.595815884733504,43.525541459463454,100.0,42.84482269039616,8,Level 2,Commuter
Nissan Leaf,41.29456373771388,San Francisco,2024-01-12 20:00:00,4.596558558388949,7.746873035170818,14.111287528004237,65.53440591874727,96.138760383217,26.888382510573617,7,Level 1,Long-Distance Traveler
Tesla Model 3,79.2201201260448,San Francisco,2024-01-08 19:00:00,1.9703347811481704,43.72247820708547,59.77147426816112,61.94254242718763,100.0,18.95272307728606,3,DC Fast Charger,Long-Distance Traveler
Nissan Leaf,30.0,New York,2024-02-08 21:00:00,2.744286642913692,18.32843431164719,35.58902704299859,49.007230933816636,100.0,12.254707716003656,3,Level 2,Commuter
Chevy Bolt,62.19899199532164,Los Angeles,2024-02-19 09:00:00,4.8135440058966354,12.315022218533802,31.9479036664536,47.758472891725205,100.0,7.896736187489195,5,Level 1,Long-Distance Traveler
Nissan Leaf,38.00539485391676,Houston,2024-01-14 14:00:00,3.8061860250816393,64.40063961941347,147.41892792056407,18.85567315547403,100.0,6.715231824918266,7,DC Fast Charger,Casual Driver
Hyundai Kona,59.06543460037877,Los Angeles,2024-02-09 17:00:00,3.864831735387614,6.860637674234177,16.73293036236585,12.588942865270555,41.63940316125844,7.898078926191541,7,Level 1,Casual Driver
Hyundai Kona,69.55979674713448,Los Angeles,2024-01-18 05:00:00,1.6355030198595242,29.6650197536347,38.50243543802728,32.00057294797189,85.90047890527266,23.371425359105153,1,Level 2,Casual Driver
Hyundai Kona,74.26777091483338,New York,2024-03-05 20:00:00,2.3661415323730766,28.063687571312148,37.54086131900191,17.127702567053106,67.71160259482815,19.783164073629493,8,Level 2,Casual Driver
Hyundai Kona,68.82302200828985,New York,2024-02-17 10:00:00,0.8705397339352476,18.873944854754303,15.325937843799608,11.657086649054332,33.41802723981735,16.089022852514493,1,Level 2,Casual Driver
Chevy Bolt,56.888690356733434,New York,2024-03-18 09:00:00,3.2293664017274017,44.20053438878292,78.80057368319817,24.651237662738076,100.0,28.837735221223475,4,DC Fast Charger,Long-Distance Traveler
BMW i3,35.54396609916654,New York,2024-03-03 06:00:00,0.9667857404412238,25.343383126756585,20.81666469322258,60.93184628178215,100.0,41.710099210069906,2,Level 2,Long-Distance Traveler
Tesla Model 3,50.95004457512256,San Francisco,2024-01-28 18:00:00,4.261593119926797,23.30030319056411,63.766486395206826,6.11463001119348,100.0,10.119836764543997,5,Level 2,Casual Driver
Hyundai Kona,65.2776119760695,New York,2024-03-04 04:00:00,4.165492041589985,6.195990767322559,17.442892191295634,24.021449311941417,50.4947995107285,11.908567481376966,6,Level 1,Long-Distance Traveler
Nissan Leaf,42.89508053897218,San Francisco,2024-03-01 15:00:00,2.9012229550503927,8.442453087497475,24.081022741395394,32.563392038942,87.81988255377861,-6.604628700561527,4,Level 1,Long-Distance Traveler
Hyundai Kona,63.286955429313785,San Francisco,2024-02-05 18:00:00,1.1352471493866336,38.46013659525643,17.862725557477535,38.187033724993626,68.30771029842921,19.68402997436357,4,DC Fast Charger,Casual Driver
Nissan Leaf,44.66873104418996,New York,2024-02-15 13:00:00,0.6151054243782568,22.575007639262285,11.84438268121111,16.802538044894302,41.657362331926606,18.468553178878956,7,Level 2,Long-Distance Traveler
Nissan Leaf,33.399048820837535,Chicago,2024-01-13 04:00:00,4.085189003941576,15.80538173218622,48.26839286271553,67.67431298947201,100.0,30.713482942572725,4,Level 2,Long-Distance Traveler
Hyundai Kona,62.801327304814656,Houston,2024-01-30 04:00:00,3.200632174460421,15.970043282374686,36.02857551380588,42.626747832192315,100.0,18.958247312472196,2,Level 2,Long-Distance Traveler
Chevy Bolt,58.49819424247266,Los Angeles,2024-02-11 18:00:00,3.699183365365475,18.466176051737968,51.97321957768345,38.93718555870787,100.0,12.942688426453984,4,Level 2,Casual Driver
Nissan Leaf,39.44945657871967,San Francisco,2024-01-28 21:00:00,1.867132065813654,7.7265745526879765,9.885632595913778,5.573468280472175,33.39286462175768,22.312228907661044,7,Level 1,Long-Distance Traveler
Nissan Leaf,45.83965831476954,Houston,2024-03-19 21:00:00,2.792672320297615,18.623814955576847,34.454945493992035,36.57149966074046,100.0,26.684820309699838,1,Level 2,Commuter
Hyundai Kona,63.26610443130866,Chicago,2024-03-05 18:00:00,3.8622837674284267,15.909456960248091,46.85971590870399,59.448590914586966,100.0,0.5872512905019747,4,Level 2,Commuter
Nissan Leaf,38.526037746137355,Los Angeles,2024-02-16 01:00:00,2.581534887412098,7.954498405353894,20.7093546490036,19.276895298330775,72.16260073871749,32.082691888784574,6,Level 1,Casual Driver
Nissan Leaf,35.31653260094734,Los Angeles,2024-02-07 11:00:00,3.206229002459289,9.985494088882072,35.108508619865376,27.828491945116845,100.0,35.67563344058142,8,Level 1,Commuter
Hyundai Kona,73.30005629995021,San Francisco,2024-02-25 08:00:00,4.05377717813583,8.277700868404025,26.374133319518776,6.337145204700211,38.975529782105866,26.569461691759116,8,Level 1,Casual Driver
Hyundai Kona,53.98162644194961,New York,2024-01-10 13:00:00,1.4684929036987049,31.00899362296823,32.001288931744206,68.50028842519669,100.0,8.785339276616952,9,Level 2,Commuter
Tesla Model 3,70.5760045372207,Chicago,2024-02-09 02:00:00,0.7966800021086704,61.2734271488207,32.02113241610239,9.332366813322654,58.32479628639226,16.087681538217154,5,DC Fast Charger,Commuter
Chevy Bolt,70.16362240258496,San Francisco,2024-01-06 11:00:00,2.8932057986486233,6.025143574980129,15.358461303266353,63.384373054122015,85.71630391770286,34.19449394866678,2,Level 1,Commuter
Chevy Bolt,62.80945978842921,Chicago,2024-02-23 20:00:00,0.7795659682404308,8.264319638728221,13.43751229668429,25.344201421729554,45.116521888254084,8.261349756147215,3,Level 1,Casual Driver
Nissan Leaf,39.89911674149365,New York,2024-03-09 11:00:00,3.9495078246503894,6.816738412889686,19.923463391443818,43.191166129082106,93.21228045903355,27.543724493182296,2,Level 1,Casual Driver
Chevy Bolt,60.1301523331577,New York,2024-02-15 16:00:00,3.7364515143520487,27.310498905990293,61.767501463354066,49.15551009779022,100.0,19.39073588872209,9,Level 2,Long-Distance Traveler
Nissan Leaf,35.26811006321091,San Francisco,2024-01-12 07:00:00,4.467707021593837,21.540942213682147,59.075114744396856,14.153895883022443,100.0,,6,Level 2,Casual Driver
Tesla Model 3,74.45178204113981,New York,2024-02-06 00:00:00,3.3780294411528224,18.056517453953667,41.111269648316544,33.84435955572181,91.38015000714486,9.970742272102274,1,Level 2,Commuter
Hyundai Kona,61.55093912702945,Houston,2024-02-23 16:00:00,0.8023890683856819,28.86702971175127,15.076452022026848,26.155296516031754,45.164358772644114,23.96797142122571,3,Level 2,Commuter
Hyundai Kona,65.25740019618503,Los Angeles,2024-02-06 06:00:00,1.6391845647032783,23.58897775361685,25.981106676773198,8.679160264355247,49.907716172614144,23.108908845372028,7,Level 2,Casual Driver
Hyundai Kona,53.45631030061584,San Francisco,2024-03-26 04:00:00,4.135693300532237,44.69176262952615,109.20164596608672,59.15758753555674,100.0,1.887696913200621,7,DC Fast Charger,Casual Driver
Chevy Bolt,62.38711204661592,Chicago,2024-03-08 12:00:00,1.2520958779111449,46.010189599409415,37.19303762171246,7.935904172336052,70.68955771829032,19.946673265395567,5,DC Fast Charger,Casual Driver
Tesla Model 3,83.13303739909047,Houston,2024-03-19 07:00:00,3.643162105166993,5.660158711123032,24.559891728424223,47.46176736645134,73.18071860274466,27.36676588495972,3,Level 1,Long-Distance Traveler
Chevy Bolt,58.77706124927656,San Francisco,2024-01-25 09:00:00,4.011166989142151,4.996505134580568,16.562490575085512,25.415029467290054,56.40925157067805,15.376600996443276,7,Level 1,Commuter
Chevy Bolt,63.88259035983484,New York,2024-02-15 04:00:00,1.985503090348585,6.0449693155128985,22.872297213340673,17.48840626812133,50.924249572432984,-9.372766613252963,5,Level 1,Long-Distance Traveler
Tesla Model 3,77.48277019875661,New York,2024-01-24 19:00:00,1.9503386303130883,7.746042427462413,10.825192679026962,48.360593336810446,63.29764767967301,18.622199301224754,6,Level 1,Long-Distance Traveler
Tesla Model 3,70.13807887867155,New York,2024-02-12 02:00:00,3.010112065441161,50.51248536148944,99.74458295452524,42.34495144420338,100.0,37.59761519774384,3,DC Fast Charger,Commuter
Tesla Model 3,66.53179450834308,New York,2024-02-14 20:00:00,4.375788497396437,19.808915318089205,57.90402937160788,25.491656729363942,100.0,15.866366126469659,6,Level 2,Commuter
Tesla Model 3,67.65289209023473,Chicago,2024-03-14 02:00:00,1.5075779086106624,9.991014937594448,18.205901779008443,38.34244863685055,64.67995970667475,37.143812994286506,7,Level 1,Casual Driver
Hyundai Kona,66.050247984083,Houston,2024-03-09 03:00:00,4.735661882190812,11.946832630601804,35.39095032629737,21.005411578403614,72.4180900518927,10.251709324267573,8,Level 2,Casual Driver
BMW i3,41.663129208088776,Los Angeles,2024-03-02 18:00:00,3.196034081690487,23.530679575778553,46.083791844094065,61.14026983517499,100.0,6.06835225127621,2,Level 2,Long-Distance Traveler
BMW i3,49.65055813129019,Chicago,2024-02-07 10:00:00,4.964569121085242,6.714481490364813,26.01295529561943,25.398220721265503,76.94984627630737,19.938768346128928,2,Level 1,Casual Driver
Tesla Model 3,81.32696089763115,Chicago,2024-01-24 14:00:00,0.9032617579789519,17.149093851017597,12.156796746964368,20.93494692084954,37.448345457296355,10.129059587175174,6,Level 2,Casual Driver
BMW i3,46.73270989876381,Los Angeles,2024-03-27 23:00:00,1.0695296142804158,23.82227172893859,10.42170529438072,53.869191218877326,78.98698978554108,,8,Level 2,Commuter
BMW i3,43.57848481027334,Los Angeles,2024-03-25 05:00:00,4.219888116710672,20.901258938194225,62.86400888182149,6.143511719604468,100.0,15.52914974881555,5,Level 2,Commuter
Tesla Model 3,67.30240840542669,New York,2024-01-16 12:00:00,4.391401530217322,9.494146932427787,35.378536873398396,22.420762585594897,76.25312574719464,37.68700454306971,1,Level 1,Casual Driver
BMW i3,43.95203577584995,Chicago,2024-01-09 00:00:00,2.5045640976692027,8.736130484822933,14.41455441787634,29.400689342326256,63.86834563920192,14.699990345392449,1,Level 1,Commuter
Chevy Bolt,60.383118990169336,San Francisco,2024-01-19 17:00:00,3.7133202926405073,31.53065368186993,76.01846497511758,62.34546751643982,100.0,21.07684352182304,9,Level 2,Casual Driver
Nissan Leaf,34.30809305722126,Los Angeles,2024-01-27 02:00:00,4.404007793504923,6.033364138972015,24.393029348516347,66.77871716564238,100.0,27.15602874132403,4,Level 1,Commuter
Nissan Leaf,46.04974629279356,Los Angeles,2024-01-28 07:00:00,0.694075046984729,28.982772448737578,23.127612054704873,51.57106784940674,100.0,31.47579247349658,1,Level 2,Commuter
Tesla Model 3,83.81831499943321,Houston,2024-03-13 01:00:00,3.0827769034696635,16.170726159922893,37.348625733494,37.014565765627886,86.43414338991711,37.75571235130586,8,Level 2,Commuter
Hyundai Kona,55.990955989080575,San Francisco,2024-01-11 20:00:00,4.3406629993692025,21.446817503622103,102.86601613504372,46.640400688749764,100.0,17.181640788308027,2,Level 2,Commuter
Tesla Model 3,69.89764075906777,San Francisco,2024-03-06 16:00:00,2.291697250631487,,75.90874750412642,31.910068359286647,100.0,15.208302810342992,2,DC Fast Charger,Casual Driver
Hyundai Kona,60.150348463916664,Los Angeles,2024-03-06 03:00:00,1.8607262275059209,25.012227064547044,31.85881130328705,24.42367907016341,71.26499236113756,,1,Level 2,Long-Distance Traveler
Nissan Leaf,43.04925771899808,New York,2024-03-20 21:00:00,4.080680082926769,8.156551596487105,24.042558912540517,66.79472442907584,100.0,,1,Level 1,Commuter
Tesla Model 3,78.95780144363196,Houston,2024-02-12 21:00:00,2.0110396257627627,,28.382290687676655,12.500364885645046,46.16359406703584,24.331569166799824,9,Level 2,Casual Driver
Chevy Bolt,60.26644327671814,San Francisco,2024-01-02 23:00:00,0.5142843418302645,25.29096086992208,18.64475213388814,27.515581923257084,61.073370731873666,29.021696789266514,1,Level 2,Casual Driver
BMW i3,43.64314368239475,Los Angeles,2024-01-20 13:00:00,4.818076644330795,20.09755458578054,61.856967388430675,63.440782397438554,100.0,26.66874649895145,6,Level 2,Commuter
Hyundai Kona,54.986574624881264,San Francisco,2024-02-15 12:00:00,3.1645545635795833,5.366405280096612,19.448281133388228,52.0041929881821,85.81607984764466,20.594418594511993,7,Level 1,Long-Distance Traveler
BMW i3,44.288167688150715,Houston,2024-02-28 01:00:00,4.18783063419532,,128.22288578634496,6.891594335993478,100.0,24.204230966040345,4,DC Fast Charger,Commuter
BMW i3,41.39468774672358,Houston,2024-01-20 00:00:00,4.213857030542215,14.61577919318741,43.14644287255285,6.501478772576063,100.0,13.284050609788977,5,Level 2,Casual Driver
Tesla Model 3,69.56765453953129,Chicago,2024-02-20 02:00:00,0.7988468916772977,8.862612699977543,4.50028051454928,38.57331007059735,41.00055370590811,16.37481619112608,4,Level 1,Long-Distance Traveler
BMW i3,32.80496235641809,Los Angeles,2024-03-15 04:00:00,1.2688708972390916,6.88875837911656,12.990788338673891,36.47644865495141,72.42846542784258,8.59753039564541,4,Level 1,Casual Driver
Chevy Bolt,60.16176693711811,Houston,2024-01-27 23:00:00,1.9000430634184133,6.932508756403919,10.067083478761392,33.79445001266069,49.521356356689864,38.686927564682705,1,Level 1,Commuter
BMW i3,44.14175937730686,Chicago,2024-03-18 10:00:00,1.9431467826859528,49.302666983307944,63.7632208928841,24.65234451953558,100.0,26.73777211875624,6,DC Fast Charger,Long-Distance Traveler
Tesla Model 3,61.3801455863473,Chicago,2024-01-01 13:00:00,3.464537529564108,,19.833417493294537,69.13151678788654,100.0,43.71407096305184,7,Level 1,Casual Driver
Chevy Bolt,60.110916423938576,San Francisco,2024-02-14 22:00:00,3.3040981433870815,10.037755377659641,26.007993933845455,22.679175993919795,68.3578638534959,47.55659895134502,7,Level 1,Casual Driver
Nissan Leaf,40.61119875924248,San Francisco,2024-03-26 10:00:00,2.7256540010441617,60.80608874719349,102.97660959007219,36.85261341863652,100.0,3.1501251245930177,8,DC Fast Charger,Casual Driver
BMW i3,38.674622741114035,Chicago,2024-01-31 11:00:00,1.4506867953894558,6.829916711482324,6.449827275653163,31.31805129349931,48.83855431756808,31.822740474476447,7,Level 1,Commuter
Tesla Model 3,78.03870561916139,San Francisco,2024-03-27 15:00:00,2.2189256136063653,4.768750175020125,10.667572080375738,16.066212687513236,28.36577565076026,3.7044358756347826,6,Level 1,Long-Distance Traveler
Nissan Leaf,39.3366879186134,Houston,2024-01-19 03:00:00,2.946172858093263,6.968041114232172,17.094588113681635,18.170223243143106,60.39438286728669,22.129009861573397,8,Level 1,Commuter
Nissan Leaf,41.41585502668182,New York,2024-02-20 22:00:00,2.605934147467739,7.628800841454364,18.418223816427194,64.68967823063524,100.0,23.776753638314347,3,Level 1,Commuter
Hyundai Kona,67.73972853012539,Houston,2024-03-27 15:00:00,1.0728163989278527,8.625220607786556,10.344766432610747,60.78818198563708,78.49254950517741,4.554006210709318,9,Level 1,Commuter
Chevy Bolt,63.20884143690314,Chicago,2024-02-03 22:00:00,3.422797220758657,23.55591370550122,59.38850820345322,17.937879878322903,100.0,11.149779973506654,3,Level 2,Long-Distance Traveler
BMW i3,48.100922960679014,Chicago,2024-01-27 02:00:00,0.8287329956479725,4.947011447620827,12.353428710901689,61.91807055411838,93.87141267136207,24.32421770931613,4,Level 1,Commuter
Tesla Model 3,77.70660151027664,Houston,2024-03-04 19:00:00,2.2018760738648613,5.929169059319561,13.448248146826202,18.597098455254766,33.194815648898256,22.11560838848756,6,Level 1,Commuter
Hyundai Kona,60.660714814562255,San Francisco,2024-01-28 13:00:00,3.695132064538531,18.86931734375539,39.21173741797765,45.72551091360031,100.0,7.779541242385781,8,Level 2,Commuter
Chevy Bolt,56.11325973148082,San Francisco,2024-01-01 02:00:00,0.5901059053386792,24.695265252029106,10.256288967507235,10.283234015845096,32.24597090133713,11.623626848723559,3,Level 2,Commuter
Hyundai Kona,56.55683872991964,Chicago,2024-02-25 07:00:00,3.0649226857039227,24.817987266199836,37.99204398182857,62.22402570684268,100.0,2.102716538193093,6,Level 2,Casual Driver
Chevy Bolt,60.90707785867744,Los Angeles,2024-03-24 09:00:00,2.0053443836448377,25.473159440404352,33.66649556813267,8.347519465255353,68.48441350583147,5.564917450122362,5,Level 2,Commuter
Chevy Bolt,67.92787028791514,San Francisco,2024-01-04 07:00:00,0.5397432954023051,7.602071709344706,14.323487523658805,41.071287801323884,61.56890222982996,15.542955061838299,5,Level 1,Casual Driver
BMW i3,39.8492843640771,Houston,2024-01-20 02:00:00,1.3567247197743733,11.704002451156779,17.465938145799882,55.68124913672502,99.89604344977346,31.84943735237218,5,Level 2,Commuter
Chevy Bolt,62.697649486259756,San Francisco,2024-03-02 22:00:00,4.734257869717945,,43.82816115196651,12.594257866694278,83.17153147719192,,9,Level 2,Long-Distance Traveler
Hyundai Kona,58.73403996839387,Houston,2024-02-22 11:00:00,2.845170074772907,21.29906184330179,38.346454913341866,31.29121738751225,98.34987627611626,42.00124034456074,7,Level 2,Casual Driver
Chevy Bolt,61.16882949096381,Chicago,2024-02-10 20:00:00,4.987522420831093,50.78462336373114,157.50987832703703,7.726759846853257,100.0,25.09117022187255,9,DC Fast Charger,Casual Driver
BMW i3,49.55608276844664,San Francisco,2024-01-10 21:00:00,2.8616753766413354,9.507331174305957,31.066609498681718,49.37891752709735,100.0,22.259396812600315,9,Level 1,Casual Driver
BMW i3,46.117487839991654,Houston,2024-02-11 02:00:00,2.947713855306207,22.38897573997516,51.100406491173956,24.984223672487875,100.0,25.94175609195966,6,Level 2,Casual Driver
Hyundai Kona,53.004315768025904,Chicago,2024-01-14 10:00:00,2.2632935581978355,5.048101338280706,10.575317397450192,41.360690901500554,60.19674800366537,25.82667220675898,6,Level 1,Long-Distance Traveler
Nissan Leaf,42.85347408017772,Los Angeles,2024-01-15 14:00:00,1.8951818842913644,25.310824038886842,23.972734336120887,65.62759757732351,100.0,0.6018367936556075,4,Level 2,Commuter
Nissan Leaf,43.08112889396776,Houston,2024-03-23 22:00:00,1.6319549890982517,21.913741535678785,37.21601714119103,24.880777019664755,100.0,42.66648065064928,8,Level 2,Casual Driver
Chevy Bolt,61.04092183936253,Los Angeles,2024-01-12 19:00:00,2.0453927725880323,46.78356171572772,57.274147532979434,8.16078565629305,100.0,-3.171267783543229,2,DC Fast Charger,Long-Distance Traveler
Tesla Model 3,80.34017690161873,Los Angeles,2024-01-22 11:00:00,2.5693298640519444,3.770801184059781,14.973103996085511,48.91580490041552,72.20592494337363,33.78514875654256,5,Level 1,Casual Driver
Chevy Bolt,54.99898776169477,New York,2024-01-22 21:00:00,1.3639637760385552,22.425935040556162,14.893084947704091,56.14467374342089,83.61180719162354,20.67664373998041,1,Level 2,Commuter
Hyundai Kona,64.4428420836286,San Francisco,2024-03-22 02:00:00,1.5119379131256314,23.144089554897302,23.59290443644855,67.26145639204245,100.0,6.9260336941425535,2,Level 2,Casual Driver
